"Character","Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID"
"Tyro","Zenith Transcendental Conversance","Judgment Grimoire+","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","Three single ranged hybrid attacks (1.10 or 3.60)","Y","Lowest HP% enemy","120","Support","断撃のグリモア改
","30161252"
"Tyro","Zenith Transcendental Conversance","Acicular Grimoire+","NAT","Single enemy","Hybrid","-","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Five single ranged hybrid attacks (1.20/1.25 or 3.80/3.95) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Support","鋭鋒のグリモア改","30161322"
"Biggs","Zenith Brave Slash","Unshackled Power+","PHY","Single enemy","Physical","7.20","Earth, Holy, NE","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","オレ様流マッスル全開改","30211472"
"Biggs","Zenith Brave Slash","Boulder Blow+","PHY","Single enemy","Physical","7.50","Earth, Holy, NE","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Knight","オレ様流・聖岩裂斬改","30211332"
"Wedge","Zenith Tornado Star","Trickster+","NAT","Single enemy","Hybrid","-","Wind","1.65","Six single ranged hybrid attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses, removes negative effects from all allies every four uses","N","Lowest HP% enemy","90","Black Magic","トリックスター改","30111572"
"Wedge","Zenith Tornado Star","Star Drive+","NAT","Single enemy","Hybrid","-","Wind","1.20","Seven single ranged hybrid attacks (1.10 or 3.60 each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","80","Thief","スタードライブ改","30201312"
"Dr. Mog","Zenith Archival Brilliance","Dr. Mog's Secret+","BLK","Single enemy","Magical","14.40","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.65","Four single attacks (3.60/3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","Dr.モグの秘技改","30111502"
"Dr. Mog","Zenith Archival Brilliance","Dr. Mog's Trump Card+","SUM","Single enemy","Magical","26.80","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.20","One single attack (26.80) capped at 99999","Y","Lowest HP% enemy","90","Summoning","Dr.モグの切り札改","30131562"
"Warrior of Light","Zenith Bitter End","Crossover+","PHY","Single enemy","Physical","6.30","Holy","1.65","Six single attacks (1.05/1.10 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","クロスオーバー改","30211372"
"Warrior of Light","Zenith Bitter End","Radiant Sword+","PHY","Single enemy","Physical","4.40","Holy","1.65","Four single ranged attacks (1.10/1.15 each) after 0-2/3+ uses, grants [Buff Holy 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","90","Knight","レディアントソード改","30211212"
